Country,Code,date,policy,,,,
Kyrgyzstan,KGZ,01/06/2021,No measures,,,,
Kyrgyzstan,KGZ,01/06/2022,No measures,,,,
Laos,LAO,01/06/2020,No measures,,,,
Laos,LAO,01/06/2021,Required (except essentials),,,,
Laos,LAO,01/06/2022,No measures,,,,
Latvia,LVA,01/06/2020,Recommended,,,,
Latvia,LVA,01/06/2021,No measures,,,,
Latvia,LVA,01/06/2022,No measures,,,,
Lebanon,LBN,01/06/2020,Recommended,,,,
Lebanon,LBN,01/06/2021,Required (except essentials),,,,
Lebanon,LBN,01/06/2022,No measures,,,,
Lesotho,LSO,01/06/2020,Recommended,,,,
Lesotho,LSO,01/06/2021,Required (except essentials),,,,
Lesotho,LSO,01/06/2022,No measures,,,,
Liberia,LBR,01/06/2020,Required (except essentials),,,,
Liberia,LBR,01/06/2021,No measures,,,,
Liberia,LBR,01/06/2022,No measures,,,,
Libya,LBY,01/06/2020,Required (except essentials),,,,
Libya,LBY,01/06/2021,Required (except essentials),,,,
Libya,LBY,01/06/2022,No measures,,,,
Liechtenstein,LIE,01/06/2020,Recommended,,,,
Liechtenstein,LIE,01/06/2021,Recommended,,,,
Liechtenstein,LIE,01/06/2022,No measures,,,,
Lithuania,LTU,01/06/2020,Recommended,,,,
Lithuania,LTU,01/06/2021,No measures,,,,
Lithuania,LTU,01/06/2022,No measures,,,,
Luxembourg,LUX,01/06/2020,Recommended,,,,
Luxembourg,LUX,01/06/2021,Required (except essentials),,,,
Luxembourg,LUX,01/06/2022,No measures,,,,
Macao,MAC,01/06/2020,No measures,,,,
Macao,MAC,01/06/2021,No measures,,,,
Macao,MAC,01/06/2022,No measures,,,,
Madagascar,MDG,01/06/2020,Required (except essentials),,,,
Madagascar,MDG,01/06/2021,Required (except essentials),,,,
Madagascar,MDG,01/06/2022,No measures,,,,
Malawi,MWI,01/06/2020,Recommended,,,,
Malawi,MWI,01/06/2021,No measures,,,,
Malawi,MWI,01/06/2022,No measures,,,,
Malaysia,MYS,01/06/2020,Recommended,,,,
Malaysia,MYS,01/06/2021,Recommended,,,,
Malaysia,MYS,01/06/2022,No measures,,,,
Mali,MLI,01/06/2020,No measures,,,,
Mali,MLI,01/06/2021,Recommended,,,,
Mali,MLI,01/06/2022,No measures,,,,
Malta,MLT,01/06/2020,Required (except essentials),,,,
Malta,MLT,01/06/2021,No measures,,,,
Malta,MLT,01/06/2022,No measures,,,,
Mauritania,MRT,01/06/2020,Required (except essentials),,,,
Mauritania,MRT,01/06/2021,Required (except essentials),,,,
Mauritania,MRT,01/06/2022,No measures,,,,
Mauritius,MUS,01/06/2020,Recommended,,,,
Mauritius,MUS,01/06/2021,Recommended,,,,
Mauritius,MUS,01/06/2022,No measures,,,,
Mexico,MEX,01/06/2020,Required (except essentials),,,,
Mexico,MEX,01/06/2021,Recommended,,,,
Mexico,MEX,01/06/2022,No measures,,,,
Moldova,MDA,01/06/2020,Recommended,,,,
Moldova,MDA,01/06/2021,Required (except essentials),,,,
Moldova,MDA,01/06/2022,No measures,,,,
Monaco,MCO,01/06/2020,Recommended,,,,
Monaco,MCO,01/06/2021,Required (except essentials),,,,
Monaco,MCO,01/06/2022,No measures,,,,
Mongolia,MNG,01/06/2020,No measures,,,,
Mongolia,MNG,01/06/2021,Recommended,,,,
Mongolia,MNG,01/06/2022,No measures,,,,
Morocco,MAR,01/06/2020,Required (except essentials),,,,
Morocco,MAR,01/06/2021,Required (except essentials),,,,
Morocco,MAR,01/06/2022,No measures,,,,
Mozambique,MOZ,01/06/2020,Recommended,,,,
Mozambique,MOZ,01/06/2021,Required (except essentials),,,,
Mozambique,MOZ,01/06/2022,No measures,,,,
Myanmar,MMR,01/06/2020,Required (except essentials),,,,
Myanmar,MMR,01/06/2021,Required (except essentials),,,,
Myanmar,MMR,01/06/2022,Required (except essentials),,,,
Namibia,NAM,01/06/2020,Recommended,,,,
Namibia,NAM,01/06/2021,Required (except essentials),,,,
Namibia,NAM,01/06/2022,No measures,,,,
Nepal,NPL,01/06/2020,Required (except essentials),,,,
Nepal,NPL,01/06/2021,Required (few exceptions),,,,
Nepal,NPL,01/06/2022,No measures,,,,
Netherlands,NLD,01/06/2020,Recommended,,,,
Netherlands,NLD,01/06/2021,Recommended,,,,
Netherlands,NLD,01/06/2022,No measures,,,,
New Zealand,NZL,01/06/2020,No measures,,,,
New Zealand,NZL,01/06/2021,No measures,,,,
New Zealand,NZL,01/06/2022,No measures,,,,
Nicaragua,NIC,01/06/2020,No measures,,,,
Nicaragua,NIC,01/06/2021,No measures,,,,
Nicaragua,NIC,01/06/2022,No measures,,,,
Niger,NER,01/06/2020,No measures,,,,
Niger,NER,01/06/2021,No measures,,,,
Niger,NER,01/06/2022,No measures,,,,
Nigeria,NGA,01/06/2020,Required (except essentials),,,,
Nigeria,NGA,01/06/2021,Required (except essentials),,,,
Nigeria,NGA,01/06/2022,No measures,,,,
Norway,NOR,01/06/2020,No measures,,,,
Norway,NOR,01/06/2021,Recommended,,,,
Norway,NOR,01/06/2022,No measures,,,,
Oman,OMN,01/06/2020,Recommended,,,,
Oman,OMN,01/06/2021,No measures,,,,
Oman,OMN,01/06/2022,No measures,,,,
Pakistan,PAK,01/06/2020,Required (except essentials),,,,
Pakistan,PAK,01/06/2021,Required (except essentials),,,,
Pakistan,PAK,01/06/2022,No measures,,,,
Palestine,PSE,01/06/2020,Required (except essentials),,,,
Palestine,PSE,01/06/2021,Required (except essentials),,,,
Palestine,PSE,01/06/2022,No measures,,,,
Panama,PAN,01/06/2020,Required (except essentials),,,,
Panama,PAN,01/06/2021,Required (except essentials),,,,
Panama,PAN,01/06/2022,No measures,,,,
Papua New Guinea,PNG,01/06/2020,Recommended,,,,
Papua New Guinea,PNG,01/06/2021,Recommended,,,,
Papua New Guinea,PNG,01/06/2022,No measures,,,,
Paraguay,PRY,01/06/2020,Required (except essentials),,,,
Paraguay,PRY,01/06/2021,Required (except essentials),,,,
Paraguay,PRY,01/06/2022,No measures,,,,
Peru,PER,01/06/2020,Required (except essentials),,,,
Peru,PER,01/06/2021,Required (except essentials),,,,
Peru,PER,01/06/2022,No measures,,,,
Philippines,PHL,01/06/2020,Recommended,,,,
Philippines,PHL,01/06/2021,Required (except essentials),,,,
Philippines,PHL,01/06/2022,No measures,,,,
Poland,POL,01/06/2020,No measures,,,,
Poland,POL,01/06/2021,Recommended,,,,
Poland,POL,01/06/2022,No measures,,,,
Portugal,PRT,01/06/2020,No measures,,,,
Portugal,PRT,01/06/2021,Recommended,,,,
Portugal,PRT,01/06/2022,No measures,,,,
Puerto Rico,PRI,01/06/2020,Required (except essentials),,,,
Puerto Rico,PRI,01/06/2021,No measures,,,,
Puerto Rico,PRI,01/06/2022,No measures,,,,
Qatar,QAT,01/06/2020,Recommended,,,,
Qatar,QAT,01/06/2021,Recommended,,,,
Qatar,QAT,01/06/2022,No measures,,,,
Romania,ROU,01/06/2020,No measures,,,,
Romania,ROU,01/06/2021,No measures,,,,
Romania,ROU,01/06/2022,No measures,,,,
Russia,RUS,01/06/2020,Required (except essentials),,,,
Russia,RUS,01/06/2021,No measures,,,,
Russia,RUS,01/06/2022,Recommended,,,,
Rwanda,RWA,01/06/2020,Required (except essentials),,,,
Rwanda,RWA,01/06/2021,Required (except essentials),,,,
Rwanda,RWA,01/06/2022,No measures,,,,
San Marino,SMR,01/06/2020,No measures,,,,
San Marino,SMR,01/06/2021,Recommended,,,,
San Marino,SMR,01/06/2022,No measures,,,,
Saudi Arabia,SAU,01/06/2020,Required (except essentials),,,,
Saudi Arabia,SAU,01/06/2021,No measures,,,,
Saudi Arabia,SAU,01/06/2022,No measures,,,,
Senegal,SEN,01/06/2020,Required (few exceptions),,,,
Senegal,SEN,01/06/2021,No measures,,,,
Senegal,SEN,01/06/2022,No measures,,,,
Serbia,SRB,01/06/2020,Recommended,,,,
Serbia,SRB,01/06/2021,Recommended,,,,
Serbia,SRB,01/06/2022,No measures,,,,
Seychelles,SYC,01/06/2020,No measures,,,,
Seychelles,SYC,01/06/2021,Required (except essentials),,,,
Seychelles,SYC,01/06/2022,No measures,,,,
Sierra Leone,SLE,01/06/2020,Recommended,,,,
Sierra Leone,SLE,01/06/2021,Recommended,,,,
Sierra Leone,SLE,01/06/2022,No measures,,,,
Singapore,SGP,01/06/2020,Required (except essentials),,,,
Singapore,SGP,01/06/2021,Recommended,,,,
Singapore,SGP,01/06/2022,No measures,,,,
Slovakia,SVK,01/06/2020,Recommended,,,,
Slovakia,SVK,01/06/2021,No measures,,,,
Slovakia,SVK,01/06/2022,No measures,,,,
Slovenia,SVN,01/06/2020,No measures,,,,
Slovenia,SVN,01/06/2021,No measures,,,,
Slovenia,SVN,01/06/2022,No measures,,,,
Solomon Islands,SLB,01/06/2020,No measures,,,,
Solomon Islands,SLB,01/06/2021,No measures,,,,
Solomon Islands,SLB,01/06/2022,No measures,,,,
Somalia,SOM,01/06/2020,Required (except essentials),,,,
Somalia,SOM,01/06/2021,Recommended,,,,
Somalia,SOM,01/06/2022,No measures,,,,
South Africa,ZAF,01/06/2020,Recommended,,,,
South Africa,ZAF,01/06/2021,Required (except essentials),,,,
South Africa,ZAF,01/06/2022,No measures,,,,
South Korea,KOR,01/06/2020,Recommended,,,,
South Korea,KOR,01/06/2021,Recommended,,,,
South Korea,KOR,01/06/2022,No measures,,,,
South Sudan,SSD,01/06/2020,Required (except essentials),,,,
South Sudan,SSD,01/06/2021,No measures,,,,
South Sudan,SSD,01/06/2022,Required (except essentials),,,,
Spain,ESP,01/06/2020,Recommended,,,,
Spain,ESP,01/06/2021,Required (except essentials),,,,
Spain,ESP,01/06/2022,No measures,,,,
Sri Lanka,LKA,01/06/2020,Required (except essentials),,,,
Sri Lanka,LKA,01/06/2021,Required (except essentials),,,,
Sri Lanka,LKA,01/06/2022,Recommended,,,,
Sudan,SDN,01/06/2020,Required (except essentials),,,,
Sudan,SDN,01/06/2021,Recommended,,,,
Sudan,SDN,01/06/2022,No measures,,,,
Suriname,SUR,01/06/2020,Required (except essentials),,,,
Suriname,SUR,01/06/2021,Required (except essentials),,,,
Suriname,SUR,01/06/2022,No measures,,,,
Sweden,SWE,01/06/2020,Recommended,,,,
Sweden,SWE,01/06/2021,Recommended,,,,
Sweden,SWE,01/06/2022,No measures,,,,
Switzerland,CHE,01/06/2020,Recommended,,,,
Switzerland,CHE,01/06/2021,Recommended,,,,
Switzerland,CHE,01/06/2022,No measures,,,,
Syria,SYR,01/06/2020,Recommended,,,,
Syria,SYR,01/06/2021,Required (except essentials),,,,
Syria,SYR,01/06/2022,No measures,,,,
Taiwan,TWN,01/06/2020,No measures,,,,
Taiwan,TWN,01/06/2021,Required (except essentials),,,,
Taiwan,TWN,01/06/2022,No measures,,,,
Tajikistan,TJK,01/06/2020,Recommended,,,,
Tajikistan,TJK,01/06/2021,No measures,,,,
Tajikistan,TJK,01/06/2022,No measures,,,,
Tanzania,TZA,01/06/2020,No measures,,,,
Tanzania,TZA,01/06/2021,No measures,,,,
Tanzania,TZA,01/06/2022,No measures,,,,
Thailand,THA,01/06/2020,Recommended,,,,
Thailand,THA,01/06/2021,Recommended,,,,
Thailand,THA,01/06/2022,No measures,,,,
Togo,TGO,01/06/2020,Required (except essentials),,,,
Togo,TGO,01/06/2021,Recommended,,,,
Togo,TGO,01/06/2022,Required (except essentials),,,,
Tonga,TON,01/06/2020,Required (except essentials),,,,
Tonga,TON,01/06/2021,Required (except essentials),,,,
Tonga,TON,01/06/2022,Required (except essentials),,,,
Trinidad and Tobago,TTO,01/06/2020,Required (except essentials),,,,
Trinidad and Tobago,TTO,01/06/2021,Required (except essentials),,,,
Trinidad and Tobago,TTO,01/06/2022,No measures,,,,
Tunisia,TUN,01/06/2020,Recommended,,,,
Tunisia,TUN,01/06/2021,Required (except essentials),,,,
Tunisia,TUN,01/06/2022,No measures,,,,
Turkey,TUR,01/06/2020,Required (except essentials),,,,
Turkey,TUR,01/06/2021,Required (except essentials),,,,
Turkey,TUR,01/06/2022,No measures,,,,
Turkmenistan,TKM,01/06/2020,No measures,,,,
Turkmenistan,TKM,01/06/2021,No measures,,,,
Turkmenistan,TKM,01/06/2022,No measures,,,,
Uganda,UGA,01/06/2020,Required (except essentials),,,,
Uganda,UGA,01/06/2021,Required (except essentials),,,,
Uganda,UGA,01/06/2022,No measures,,,,
Ukraine,UKR,01/06/2020,Recommended,,,,
Ukraine,UKR,01/06/2021,Recommended,,,,
Ukraine,UKR,01/06/2022,No measures,,,,
United Arab Emirates,ARE,01/06/2020,No measures,,,,
United Arab Emirates,ARE,01/06/2021,No measures,,,,
United Arab Emirates,ARE,01/06/2022,No measures,,,,
United Kingdom,GBR,01/06/2020,Recommended,,,,
United Kingdom,GBR,01/06/2021,No measures,,,,
United Kingdom,GBR,01/06/2022,No measures,,,,
United States,USA,01/06/2020,Required (except essentials),,,,
United States,USA,01/06/2021,Recommended,,,,
United States,USA,01/06/2022,No measures,,,,
United States Virgin Islands,VIR,01/06/2020,No measures,,,,
United States Virgin Islands,VIR,01/06/2021,No measures,,,,
United States Virgin Islands,VIR,01/06/2022,No measures,,,,
Uruguay,URY,01/06/2020,Recommended,,,,
Uruguay,URY,01/06/2021,Recommended,,,,
Uruguay,URY,01/06/2022,No measures,,,,
Uzbekistan,UZB,01/06/2020,Required (except essentials),,,,
Uzbekistan,UZB,01/06/2021,No measures,,,,
Uzbekistan,UZB,01/06/2022,No measures,,,,
Vanuatu,VUT,01/06/2020,Recommended,,,,
Vanuatu,VUT,01/06/2021,No measures,,,,
Vanuatu,VUT,01/06/2022,Recommended,,,,
Venezuela,VEN,01/06/2020,Required (except essentials),,,,
Venezuela,VEN,01/06/2021,Required (except essentials),,,,
Venezuela,VEN,01/06/2022,No measures,,,,
Vietnam,VNM,01/06/2020,No measures,,,,
Vietnam,VNM,01/06/2021,Required (except essentials),,,,
Vietnam,VNM,01/06/2022,No measures,,,,
Yemen,YEM,01/06/2020,Required (except essentials),,,,
Yemen,YEM,01/06/2021,Required (except essentials),,,,
Yemen,YEM,01/06/2022,Required (except essentials),,,,
Zambia,ZMB,01/06/2020,No measures,,,,
Zambia,ZMB,01/06/2021,No measures,,,,
Zambia,ZMB,01/06/2022,No measures,,,,
Zimbabwe,ZWE,01/06/2020,Required (except essentials),,,,
Zimbabwe,ZWE,01/06/2021,Required (except essentials),,,,
Zimbabwe,ZWE,01/06/2022,Required (except essentials),,,,
